setting	exposure	outcome	n	beta	lo	hi	p	q
S2_TCGA_PCAWG	PGA	tcell_inflamed	716	-0.09432400422238413	-0.14321226000090098	-0.04543574844386729	0.00016472286277355723	0.0010981524184903815
S2_TCGA_PCAWG	PGA	treg	716	-0.06768710959988032	-0.11609991674624662	-0.019274302453514025	0.00620479327192461	0.015511983179811523
S2_TCGA_PCAWG	PGA	myeloid	716	-0.08398837001079565	-0.13619044150682016	-0.03178629851477113	0.0016513240448924596	0.005255185157197134
S2_TCGA_PCAWG	PGA	tgfb_stroma	716	-0.01766392422338408	-0.07133661223655184	0.03600876378978368	0.5184024811996214	0.5760027568884682
S2_TCGA_PCAWG	PGA	exhaustion	716	-0.07781056007109499	-0.13304344602908885	-0.022577674113101118	0.005824684920373708	0.015194830227061846
S2_TCGA_PCAWG	n_high	cytolytic	716	-0.031666841759041574	-0.0939108668791036	0.03057718336102045	0.3182136173851569	0.38945095098312044
S2_TCGA_PCAWG	n_high	cd8_tcell	716	-0.033002104423503244	-0.09459089181534257	0.02858668296833608	0.2931439899692943	0.3704365705319973
S2_TCGA_PCAWG	n_high	apm	716	-0.029554714984589982	-0.08841246699188593	0.029303037022705973	0.3245424591526004	0.38945095098312044
S2_TCGA_PCAWG	n_high	isg	716	-0.02717670617306231	-0.08383836357318883	0.029484951227064203	0.34668567709367965	0.4078655024631525
S2_TCGA_PCAWG	n_high	cgas_sting	716	-0.023020208309892452	-0.06036253274063552	0.014322116120850617	0.22656346274008993	0.308950176463759
S2_TCGA_PCAWG	n_high	tcell_inflamed	716	-0.029954234150278994	-0.07806153274684402	0.01815306444628604	0.22193869198070032	0.308950176463759
S2_TCGA_PCAWG	n_high	treg	716	0.006346281801300105	-0.04111661970767826	0.05380918331027847	0.7930013274204292	0.8064420278851823
S2_TCGA_PCAWG	n_high	myeloid	716	-0.007266943081978709	-0.05853126515567917	0.04399737899172176	0.7808578068674157	0.8064420278851823
S2_TCGA_PCAWG	n_high	tgfb_stroma	716	-0.0035853942031741845	-0.05594595459798609	0.04877516619163772	0.8930948244604453	0.8930948244604453
S2_TCGA_PCAWG	n_high	exhaustion	716	-0.02913552318222701	-0.08324919694627912	0.024978150581825103	0.2908392333803382	0.3704365705319973
S3_nonTCGA_PCAWG	WGD	cytolytic	421	-0.10216175974737879	-0.3150943219225397	0.11077080242778212	0.3461769732430309	0.5854405362156586
S3_nonTCGA_PCAWG	WGD	cd8_tcell	421	-0.10934743694234018	-0.3253342211723103	0.10663934728762996	0.32023673759672694	0.5854405362156586
S3_nonTCGA_PCAWG	WGD	apm	421	-0.14394004057554968	-0.3273022920652648	0.03942221091416542	0.12357533272312926	0.4689666423857937
S3_nonTCGA_PCAWG	WGD	isg	421	-0.26566788036645217	-0.446138895191158	-0.08519686554174632	0.004008004579495395	0.18526835146848364
S3_nonTCGA_PCAWG	WGD	cgas_sting	421	-0.1592362497067091	-0.2785297851912073	-0.039942714222210934	0.009013787146152948	0.18526835146848364
S3_nonTCGA_PCAWG	WGD	tcell_inflamed	421	-0.10595723171355308	-0.26118785152008955	0.049273388092983414	0.18041521930535764	0.4987099461262957
S3_nonTCGA_PCAWG	WGD	treg	421	-0.16713689031338483	-0.3284644583921853	-0.005809322234584385	0.04233628957491678	0.28962667439708417
S3_nonTCGA_PCAWG	WGD	myeloid	421	-0.06567353011389576	-0.24007166031004007	0.10872460008224855	0.4595849821093812	0.6412813703851831
S3_nonTCGA_PCAWG	WGD	tgfb_stroma	421	-0.09017737035072182	-0.26623482919380087	0.08588008849235723	0.3146032185644993	0.5854405362156586
S3_nonTCGA_PCAWG	WGD	exhaustion	421	-0.12134307910282047	-0.29334604919508567	0.05065989098944476	0.1662673251846424	0.4987099461262957
